soggetto,relazione,oggetto
EmPULIA, consente, richiesta CIG derivati
CIG derivati, associati a, Ordinativi Fornitura
Ordinativi Fornitura, utilizzati per, convenzioni
Ordinativi Fornitura, utilizzati per, accordi quadro
guida rapida, descrive, passaggi richiesta CIG
utente, accede a, Gruppo Funzionale Negozio Elettronico
PI, configura, Ordinativo Fornitura
PI, non accede a, menu Gestione PCP
PI, invia, Ordinativo Fornitura a PO
PO, verifica, contenuto Ordinativo Fornitura
PO, richiede, CIG
PO, utilizza, comando Conferma Appalto
PO, firma, Ordinativo Fornitura
PO, invia, Ordinativo Fornitura a fornitore
OdF, contiene, parametri PCP
parametri PCP, includono, Scheda PCP
parametri PCP, includono, Stato PCP
parametri PCP, includono, CIG Master
parametri PCP, includono, Utente RUP
PO, deve essere, profilato RUP
profilazione, gestita da, Servizio Registrazione ANAC
PI, invia, Ordinativo Fornitura in approvazione
PO, invia, schede a PCP
Conferma Appalto, e, servizio asincrono
servizio asincrono, richiede, attesa
RUP, richiede, CIG derivato extra piattaforma
utente, inserisce, CIG derivato manualmente
inserimento manuale, comporta, disconnessione PCP
ordinativo disconnesso, disabilita, menu Gestione PCP
menu Gestione PCP, non disponibile per, CIG manuale
OdF non in lavorazione, abilita, menu Gestione PCP
utente, avvia, richiesta interoperabilita
OdF inviato in approvazione, blocca, attivazione CIG manuale
OdF inviato in approvazione, blocca, disattivazione CIG manuale
